name,address,rankingPosition,rawRanking,priceLevel,numberOfReviews,priceRange,description,cuisines/0,cuisines/1,cuisines/2,cuisines/3,cuisines/4,cuisines/5,cuisines/6,cuisines/7
Manneken JR Osakaekiten,"3-1-1 Umeda Kita-ku, Osaka 530-0001 Osaka Prefecture",293,3.382627487182617,$,58,,,Belgian,Fast Food,European,,,,,
Okaru,"1-9-19, Sennichimae, Chuo, Osaka 542-0074 Osaka Prefecture",9,3.3858463764190674,$$ - $$$,39,,,Japanese,,,,,,,
Ginza Kyubey Imperial Hotel Osaka,"1-8-50 Temmabashi, Kita-Ku Imperial Hotel Osaka 24F, Osaka 530-0042 Osaka Prefecture",286,3.387120485305786,$$$$,64,,,Japanese,Sushi,Asian,,,,,
Kokyu,"1-1-20 Oyodonaka, Kita-ku The Westin Osaka 3F, Osaka 531-0076 Osaka Prefecture",285,3.3883044719696045,$$$$,92,"$5,500 - $50,000","Interior decoration that makes you feel like a museum. Chef Wang from Tianjin, China, offers creative Cantonese cuisine with the concept of deliciousness and health. Two sommeliers provide the marriage of Chinese cuisine and wine.",Chinese,,,,,,,
Crab Specialty Restaurant Amimotobekkan,"2-9-16 Nishishinsaibashi, Chuo, Osaka Osaka Prefecture",137,3.386967658996582,$$$$,38,,,Japanese,Seafood,Asian,,,,,
Maguroya Kurogin,"2-11-1 nipponbashi chuo-ku Osaka, Nippombashi, Chuo, Osaka 542-0073 Osaka Prefecture",5,3.3887417316436768,$$ - $$$,39,"$1,000 - $8,000",,Japanese,Seafood,Sushi,Asian,,,,
Takoya Dotonbori Kukuru Itami Airport,"3-555 Hotarugaike Nishimachi Inside the South Terminal Security Checkpoint, Toyonaka 560-0036 Osaka Prefecture",4,3.390047311782837,,85,,"A long-established store that specializes in takoyaki and Akashiyaki, with its main store in Dotonbori, which is popular for its fluffy texture and huge octopus.Takoyaki, which has the umami of large octopus and the aroma of wine, is particular about the ingredients and the fluffy baked texture, and the inside is mellow and juicy.The large takoyaki is full of fresh large octopus and crispy green onions. The savory red pickled ginger and sweet pickled ginger are added to accentuate the taste of the ingredients. To finish, sprinkle white wine like flambe and it's done.",,,,,,,,
Kyu Yam Tetsudou,"3-1-3 Umeda B2F Baltica Lucua 1100, Osaka 530-0001 Osaka Prefecture",280,3.389796495437622,,67,,,Japanese,,,,,,,
Bar Freedom,"1-6-14 2F Senju Bldg. Annex, Sennichimae, Chuo, Osaka 542-0074 Osaka Prefecture",8,3.3918557167053223,$$ - $$$,38,"$800 - $10,000","Bar Freedom is fully dedicated to Japanese whisky. With more than over 100 bottles from more 20 distilleries in Japan, I'm here to provide you a friendly and casual environment for beginners or enthusiast who would like to learn and taste some golden liquid of Japan. *Please Note* Due to the nature of my other job, business days and hours are different each day of the month. Please check the homepage for the latest details.",Bar,,,,,,,
"Harbs, Hankyu Sambangai","1-1-3 Shibata, Kita-Ku B1F Hankyu Sambangai South Bldg, Osaka 530-0012 Osaka Prefecture",273,3.3933730125427246,$$ - $$$,79,"$800 - $1,000",,Cafe,,,,,,,
Dining&Bar LAVAROCK,"1-2-70 Miyahara, Yodogawa-ku Courtyard by Mariott Shin Osaka Station, Osaka 532-0003 Osaka Prefecture",278,3.390598773956299,$$ - $$$,57,"$1,500 - $6,000",,Grill,Bar,Pub,Diner,Dining bars,,,
Port Dining Ricorico,"1-1-111 Sakurajima, Konohana-Ku Hotel Universal Port 2F, Osaka 554-0031 Osaka Prefecture",274,3.392150640487671,$$ - $$$,73,,,Japanese,Italian,Asian,,,,,
Nadaman,"5-3-68 Nakanoshima Kita-Ku Rihga Royal Hotel B1, Osaka 530-0005 Osaka Prefecture",269,3.3945860862731934,$$$$,55,,,Japanese,Kaiseki,,,,,,
THAI YA TAI,"1-6-23 Sonezaki,Kita-ku, Osaka 530-0057 Osaka Prefecture",267,3.396139621734619,$$ - $$$,30,,,Thai,Asian,,,,,,
Amadeus,"1-1-20 Oyodonaka Kita-ku The Westin Hotel Osaka 1F, Osaka 531-0076 Osaka Prefecture",271,3.3937578201293945,$$ - $$$,86,"$4,000 - $15,000","A restaurant featuring a stairwell atrium. Breakfast and lunch time while watching the forest. Dishes arranged based on Western dishes are arranged at the buffet corner, and the chef cooks in front of you in the middle corner. At dinner time, you can enjoy dishes in a chic atmosphere.",French,International,Barbecue,European,,,,
Kobe Beef Yakiniku Shinkei,"1-8-5, Dotombori, Chuo, Osaka Osaka Prefecture",28,3.3759207725524902,$$ - $$$,26,,,Japanese,Barbecue,Steakhouse,Asian,,,,
Okonomiyaki Kiji,"9-20 Kakudacho, Kita-Ku Shin Umeda Shokudogai, Osaka 530-0017 Osaka Prefecture",284,3.388418197631836,$$ - $$$,144,"$800 - $1,000",,Japanese,,,,,,,
Acchichi Hompo Dotombori,"7-19 Souemoncho, Chuo, Osaka 542-0084 Osaka Prefecture",135,3.3904776573181152,$,92,,,Japanese,Fast Food,,,,,,
Sant-Angelo,"5-1-60 1F Namba City South Hall Restaurant Avenue, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",21,3.393625974655152,$$ - $$$,66,"$800 - $1,000",,Italian,Pizza,Vegetarian Friendly,Vegan Options,,,,
Cafe & Meal MUJI GRAND FRONT OSAKA,"3-1 Ofukachou, Kita-Ku Grand Front Osaka, North Bldg. 4F, Osaka 530-0011 Osaka Prefecture",302,3.375898122787476,$$ - $$$,60,,,Cafe,Deli,,,,,,
Ichibazushi,"2-7-3 Shinsaibashisuji, Chuo, Osaka 542-0085 Osaka Prefecture",122,3.409548759460449,$$ - $$$,99,"$1,500 - $4,500",A restaurant with 5 branches in the Minami area of Osaka serving Edomae Sushi. Warmly welcomes everyone from small groups to tours. Come here to enjoy delicious sushi made with fresh ingredients directly from ports across Japan. An experienced sushi-chef lovingly makes the reasonably-priced sushi available here. Great value hot pot courses are also available.,Japanese,Sushi,Seafood,,,,,
Tonkatsu KYK Hankyu Sanbangai,"1-1-3 Shibata, Kita-ku, Osaka Osaka Prefecture",303,3.375207662582397,$$ - $$$,64,,,Japanese,Asian,,,,,,
French Bistro Rue D'or,"3-6-12 Hommachi St. Regis Osaka 1F, Chuo, Osaka 541-0053 Osaka Prefecture",121,3.411748170852661,,141,,"Take a gourmet trip to Paris at our French Bistro “Rue D’or”, an elegant dining space with a stylish interior accented with oversized red lampshades and mosaic tiles. This casual yet sophisticated restaurant offers a wide range of bistro-style French dishes using a fresh local ingredient. Our experienced sommeliers will be happy to provide a recommendation from our wine list that will perfectly match with your dish. Gather with family and friends at Rue d’Or and allow our team to cater to an unforgettable dining experience.",French,,,,,,,
Turutontan Kitashinchi Kinshoro,"1-4-20 Sonezakishinchi, Kita-ku Sakurabashi IM Bldg. B2F, Osaka 530-0002 Osaka Prefecture",291,3.382974863052368,$$ - $$$,60,"$1,500 - $8,000",,Japanese,Sushi,Kaiseki,Japanese sweets parlour,,,,
Kasumi Kitayoshi Ohatsutenjin,"2-10-19 Sonezaki, Kita-ku 2F Dai1 Kawai Bldg., Osaka 530-0057 Osaka Prefecture",292,3.382639646530152,$$$$,27,"$7,000 - $15,000",Osaka umeda seafood restaurant crab restaurant.,Japanese,Seafood,,,,,,
OOOTOYA Universal City,"6-2-68 Shimaya, Konohana-ku Hotel Kintetsu Universal City 5F, Osaka 554-0024 Osaka Prefecture",282,3.389479398727417,$$ - $$$,79,"$820 - $2,000","Enjoy Homestyle Japanese dishes in a Set Menu! OOTOYA One of the must-do things when in Japan is trying the authentic, homestyle Japanese dishes and there is one restaurant that serves just that! The name of this restaurant is OOTOYA GOHAN DOKORO. OOTOYA is a nationally developed restaurant chain mainly focusing on Japanese cuisine. The best feature of OOTOYA is the authenticity of the many Japanese dishes, prepared in a homestyle manner. From grilled and boiled fish to different hot pot dishes and fried delicacies, all the dishes are served with rice and miso-soup as a set menu at reasonable prices. Carefully prepared by the masterful chefs, they’re not only extraordinarily delicious but also nutritious and healthy. OOTOYA's restaurants are often busy with fans of all ages that enjoy the delicious Japanese homestyle cuisine.",Japanese,Asian,Healthy,,,,,
Atmos Dining,"3-2-4 Nakanoshima, Kita-ku Conrad Osaka 40F, Osaka 530-0005 Osaka Prefecture",270,3.393976211547852,$$$$,53,"$5,000 - $8,000","Our all-day-dining restaurant is located on the 40th floor and is seamlessly connected to the lobby lounge and bar. This truly flexible space features open kitchens showcasing Asian and Western specialties, as well as a cold counter with gourmet breads during the day and bespoke cakes in the evening. Designed as a food library with a brasserie feel, this restaurant serves a delicious breakfast buffet and a la carte options for lunch and dinner. Live kitchen stations offer a theatrical-like dining experience with signature items prepared a la minute. After breakfast, the space transforms into a stylish casual restaurant, perfect for business meetings and dinners.",European,Asian,,,,,,
Udonbo Osaka,"Umeda, Kitaku, Osaka 530-0001 Osaka Prefecture",307,3.371143102645874,$,43,"$800 - $1,000",,,,,,,,,
Yoshinoya Namba City South Building,"5 Chome-1-60 Nanba 1F Namba City South Wing, Namba, Chuo, Osaka 556-0011 Osaka Prefecture",24,3.3545732498168945,$,67,"$800 - $1,000","Yoshinoya was established in 1899 in the riverside fish market in Nihonbashi, Tokyo. For more than 120 years, Yoshinoya has worked hard to offer ""delicious, affordable, and fast"" beef rice bowls, and we have continued to strive to provide products and services that bring a smile to every customer. We also offer beef ribs bowls, broiled unagi cooked with our own original sauce, and more. Our food is also available for takeout. Also, for the convenience of our customers, we have not only counter, but tables to enjoy the conversation with your friends and family.We also have options for children such as high chairs and a children's menu.",Japanese,Fast Food,Asian,,,,,
Boulangerie Burdigala Herbis Plaza,"2-5-25 Umeda, Kita-Ku, Osaka 530-0001 Osaka Prefecture",326,3.355887651443481,$$ - $$$,60,"$800 - $1,000",,,,,,,,,
"Vegitable Curry, Camp","3-1-1 Umeda, Kita-Ku Ekimae Marche Osaka, Osaka 530-0001 Osaka Prefecture",324,3.356283187866211,$$ - $$$,61,,,Asian,Vegetarian Friendly,Vegan Options,,,,,
La Cime,"3-2-15 Kawaramachi 1F Kawaramachi Usami Bldg., Chuo, Osaka 541-0048 Osaka Prefecture",145,3.372195243835449,$$$$,45,$5 - $16,,French,,,,,,,
Mustang bar,"2-13-1 Nishishinsaibashi, Chuo, Osaka 542-0086 Osaka Prefecture",154,3.355529546737671,$,29,"$600 - $1,200",The Famous bras bar mustang Crazy flaming drinks would knock you out and make you come back again in the next morning All food organic food menu including falafel hummus and vegetable salads,Bar,Pub,Israeli,,,,,
Naniwa Okina,"4-1-18 Nishitenma, Kita-ku Oimatsudori, Osaka 530-0047 Osaka Prefecture",305,3.373579740524292,$$ - $$$,43,"$1,000 - $3,000",,Japanese,,,,,,,
Kushikatsu Daruma Lucua Osaka,"3-1-3 Umeda, Kita-ku, Osaka Osaka Prefecture",323,3.35737943649292,$$ - $$$,110,,,Japanese,,,,,,,
Charcoal Grilled Unagi Uoi Main,"4-8-10 Takadono Asahi-Ku, Osaka 535-0031 Osaka Prefecture",322,3.3583574295043945,$$$$,50,,,Japanese,,,,,,,
Hanakujira Honten,"2-8-2 Fukushima, Fukushima-ku, Osaka 553-0003 Osaka Prefecture",315,3.365947723388672,$,41,,,Japanese,,,,,,,
Teppanyaki Kamon,"1-8-50 Temmabashi, Kita-Ku Imperial Hotel Osaka 24F, Osaka 530-0042 Osaka Prefecture",313,3.367180109024048,$$$$,44,,,Grill,Steakhouse,Japanese,,,,,
Indian Restaurant Bar Banjara,"1-12-14 Shibata, Kita-ku Watanabe Bldg. 5 6F, Osaka 530-0012 Osaka Prefecture",318,3.363015651702881,$$ - $$$,63,"$1,000 - $3,000",,Indian,Asian,Vegetarian Friendly,Vegan Options,Halal,,,
Harijyu Dotombori Honten Japanese Cuisine,"1-9-17, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",29,3.363765954971313,$$$$,80,"$5,000 - $9,000",,Japanese,Kaiseki,,,,,,
Fukasezushi,"1-1-22 Dejimacho, Sakai 590-0834 Osaka Prefecture",2,3.361726999282837,$$ - $$$,38,"$1,000 - $3,000",,Japanese,Seafood,Sushi,,,,,
Rouge Et Blanc Kohaku,"2-9 Kakudacho Umeda Chikagai, Kita-Ku B1F Whity North Mall 2, Osaka 530-0017 Osaka Prefecture",314,3.366211175918579,$$ - $$$,42,,,French,,,,,,,
Casareccio,"1-22-23 Minami Mukonoso, Amagasaki 661-0033 Hyogo Prefecture",1,3.367504835128784,$$ - $$$,30,"$1,200 - $5,000","Original Rome's cuisine taste, pizza, pasta, meat, fish, desserts and homemade ice-creams. Our ingredients are first quality products imported directly from Italy.",Italian,Pizza,Mediterranean,Seafood,,,,
Mitsuka Bose,"1-2-16 Oyodominami, Kita-ku, Osaka 531-0075 Osaka Prefecture",310,3.36897087097168,$,39,"$900 - $1,800",,Japanese,Asian,Vegetarian Friendly,Vegan Options,,,,
Kennyasia,"1-7-25, Sennichimae, Chuo, Osaka 542-0074 Osaka Prefecture",10,3.369424343109131,$$ - $$$,41,,,Asian,Malaysian,Halal,Vegetarian Friendly,,,,
Abe No Takoyaki Yamachan Universal Citywalk Osaka TM,"6-2-61 Shimaya, Konohana-ku 4F, Osaka 554-0024 Osaka Prefecture",294,3.382207155227661,$$ - $$$,74,,,Japanese,,,,,,,
"Kohaku, Lucua Osaka","3-1-3 Umeda, Kita-Ku B2F Lucua 1100, Osaka 530-0001 Osaka Prefecture",311,3.3682985305786133,$$ - $$$,50,,,French,European,,,,,,
Asai Togei,"2-2-30 Shinsaibashisuji Yahatasuji Sakai Bldg. 1F, Chuo, Osaka 542-0085 Osaka Prefecture",146,3.370485305786133,$$$$,31,"$8,000 - $15,000","Japanese kaiseki ryori (haute-cuisine) steeped in traditional Osaka food culture. A restaurant that provides new creative cuisine using seasonal ingredients. Chef omakase (recommended) lunch courses are available from ¥5,400 and dinner courses start at ¥8,640, ¥10,800 and ¥16,200. Vegetarian and vegan courses are also available (lunch ¥5,400, dinner ¥8,640). Vegetarian or vegan courses are order ahead only. Please give the restaurant 24 hours notice if you would like a vegetarian or vegan course.",Japanese,Seafood,Kaiseki,Kappo,,,,
Japanese Restaurant Benkay,"1-3-3 Nishishinsaibashi Hotel Nikko Osaka 3F, Chuo, Osaka 542-0086 Osaka Prefecture",157,3.3535544872283936,$$$$,56,,"Enjoy the four seasons along midosuji avenue.Enjoy our japanese hospitality ""omotenashi"".The four seasons and your five senses combined to make a memorable dining experience.",Sushi,Japanese,,,,,,
Takoyaki Douraku Wanaka Shinsaibashi Americamura,"2-12-8 Nishishinsaibashi, Chuo, Osaka 542-0086 Osaka Prefecture",156,3.353886604309082,$,45,,,Japanese,,,,,,,
Kingemon Dotombori,"1-4-17, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",32,3.339052438735962,$$ - $$$,61,"$800 - $1,000",,Chinese,,,,,,,
Momo Light,"2-7-11 Shinsaibashi Suji Nippo Royal Bldg. 3F, Chuo, Osaka 542-0085 Osaka Prefecture",166,3.3398022651672363,$,12,"$2,500 - $5,000","Nowhere in Shinsaibashi other than Momo Light where you can show off your musical grits (using gracious owner's guitar, drum, piano etc) while savoring your favorite cocktail drinks with your facorite crowd. The concept is at home Asian fusioned atomosphere filled with good laugh, music and good time rolling. You can visit solo. with your dog or a bunch of faves to enjoy the funness of Namba. If you are looking for seceret hideout in Shinsaibashi/Namba, look no further and make Momo your favorite bar! The experience at Momo Light will be sure to leave you nostalgia and happy. for a long time to come. Offers a variety of speciality cocktails, wine and beer and good laugh and music for life.",Bar,,,,,,,
Abeton,"13 Horikoshicho, Tennoji-ku Abeno Underground Shopping Avenue No. 1 Abe Underground Center, Osaka 543-0056 Osaka Prefecture",360,3.338459014892578,$$ - $$$,58,,,Japanese,,,,,,,
Calendrier,"3-2-15 Hommachi Ohara 3 Bldg.1F, Chuo, Osaka 541-0053 Osaka Prefecture",165,3.3401999473571777,,42,,,French,,,,,,,
Kushinobo Shin-Umeda City,"1-1-90 Oyodonaka, Kita-Ku Umeda Sky Bldg. B1, Osaka 531-0076 Osaka Prefecture",354,3.341318368911743,$$ - $$$,48,,,Japanese,,,,,,,
Jikasei-Meatsauce Potto Minamisemba,"3-6-1 Minamisemba Cypress Shinsaibashi 1F, Chuo, Osaka 542-0081 Osaka Prefecture",162,3.3440561294555664,$$ - $$$,21,"$8 - $1,999",,Italian,Cafe,,,,,,
Mimiu Hommachi,"4-6-4 Hommachi, Chuo, Osaka 541-0053 Osaka Prefecture",164,3.3422088623046875,$$ - $$$,57,"$1,000 - $3,000",,Japanese,,,,,,,
Teppanyaki (Griddle Cuisine) Kiryu,"3-1-1 Umeda, Kita-ku Hotel Granvia Osaka, Osaka Osaka Prefecture",347,3.344853162765503,$$$$,34,"$6,000 - $38,000",,French,Steakhouse,Seafood,Grill,,,,
Quatre Lapin,"1-2-1 Dojimahama, Kita-Ku Shin-Dai Bldg. 2F, Osaka 530-0004 Osaka Prefecture",344,3.346977710723877,,37,,,French,European,,,,,,
Grill Capitol Touyoutei Namba,"5-1-5 Namba Dining Maison 7F, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",26,3.3439478874206543,$$ - $$$,65,,,Steakhouse,,,,,,,
Matsubasohonten,"9-25 Kakudacho, Kita-Ku, Osaka 530-0017 Osaka Prefecture",350,3.342391014099121,$,64,"$800 - $1,000",,Japanese,,,,,,,
Finnegan's Bar & Grill,"2-1 Sakurajima, Konohana-Ku Universal Studio Japan, Osaka 554-0031 Osaka Prefecture",346,3.3458425998687744,$$ - $$$,59,,,Bar,Pub,International,,,,,
Umeda Koshitsu Nikubaru Gaburico Umedaekimae,"2-1-21 Umeda, Kita-ku Rays Umeda Bldg. 9F, Osaka 530-0001 Osaka Prefecture",342,3.3473923206329346,,39,,"[PANE Chicken for 1,480 JPY] Very [instagrammable]! Your excitement will be at its MAX when the melting cheese stretches!",Pub,Gastropub,,,,,,
Ganko Dotonbori,"1-8-24, Dotombori, Chuo, Osaka Osaka Prefecture",30,3.3471570014953613,$$ - $$$,113,,,Japanese,Seafood,Sushi,Asian,,,,
Mango Tree Cafe Osaka,"3-1-3 Umeda Kita-Ku Lucua 10F, Osaka 530-0001 Osaka Prefecture",339,3.348893642425537,$$ - $$$,68,"$2,000 - $4,000",,Asian,Thai,,,,,,
Hitsumabushi Nagoya Bincho Grand Front Osaka Location,"4-20 Ofukacho, Kita-ku Grand Front Osaka South Wing 7F, Osaka 530-0011 Osaka Prefecture",341,3.3482260704040527,$$ - $$$,52,,A restaurant specialized in aromatic and crispy hitsumabushi from Nagoya located in the South Bldg. of GRAND FRONT OSAKA.,Japanese,,,,,,,
Osaka Yakiniku Mahoro Shinsaibashi Honten,"4-7-7 Bakuromachi, Chuo, Osaka 541-0059 Osaka Prefecture",172,3.3363070487976074,$$ - $$$,23,"$3,500 - $4,500","We offer to those who love yakiniku! Meat entertainment delivered by Yakiniku Mahoro! We use domestic Japanese black beef such as Hokkaido Saroma Black Beef and Kyushu Kuroge Wagyu Beef! [Access] Subway Yotsubashi Line Yotsubashi Station 5-minute walk, Subway Nagahori Tsurumi-ryokuchi Line Shinsaibashi Station 7-minute walk [Close] Every Sunday[Cards Accepted] VISA, MasterCard, JCB, American Express, Diners Club, Discover Card, UnionPay",Grill,,,,,,,
Irish Pub DublinBay,"2-1-5 Zelkova Due B1F, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",34,3.336663722991944,$$ - $$$,29,,,Bar,Pub,,,,,,
Kyochabana Hozenji,"1-6-8 1F Monzou Bldg., Namba, Chuo, Osaka 542-0076 Osaka Prefecture",25,3.349804162979126,$$ - $$$,22,"$1,000 - $5,000",,Japanese,Healthy,Grill,,,,,
17MAP Minami,"2-3-7 Shinsaibashisuji Royal Kitagawa Bldg. 1F, Chuo, Osaka 542-0085 Osaka Prefecture",160,3.3486599922180176,$,11,,,Mexican,,,,,,,
Resshi-Shoyu Menkobo Sanku,"2-6-5 Fukushima, Fukushima-Ku AK Palace 1F, Osaka 553-0003 Osaka Prefecture",335,3.3517019748687744,$$ - $$$,45,,,,,,,,,,
Naniwakappo Kigawa,"1-7-7, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",33,3.3376882076263428,$$$$,42,"$10,000 - $15,000",,Japanese,Kappo,,,,,,
"Ikkaku, Shinsaibashi","2-6-14 Shinsaibashisuji Across Bldg. 3F, Chuo, Osaka 542-0085 Osaka Prefecture",148,3.368001699447632,$$ - $$$,49,,,Japanese,Asian,,,,,,
Bar Yamato,"2-4 Komatsubaracho, Kita-ku Osaka Fukoku Seimei Bldg. Fukoku Forest Square B2F, Osaka 530-0018 Osaka Prefecture",355,3.340480327606201,$$ - $$$,47,,,Japanese,,,,,,,
massa Kyobashi,"1-5-1 Higashinoda, Miyakojima-ku 1F, Osaka 556-0011 Osaka Prefecture",330,3.3541996479034424,$$ - $$$,45,,,Spanish,,,,,,,
Isomaru Suisan Dotonbori,"1-4-18, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",31,3.339441299438477,$$ - $$$,108,,,Japanese,Seafood,Asian,Grill,,,,
Ma - Nabeya Osaka,"2-8-26 Higashishinsaibashi Fuku Bld. Shinsaibashi 4F, Chuo, Osaka 542-0083 Osaka Prefecture",153,3.3560290336608887,$$$$,28,"$1,980 - $7,380",It is an all-you-can-eat pot specialties restaurant.,Japanese,,,,,,,
Takoyaki Jyuhachiban Universal City Walk TM Osaka,"6-2-61 Shimaya, Konohana-ku, Osaka Osaka Prefecture",320,3.36128830909729,$$ - $$$,63,,,Japanese,,,,,,,
The Local Irish Pub,"2-5-31 Higashishinsaibashi 5/f, Chuo, Osaka 542-0083 Osaka Prefecture",149,3.3640835285186768,$,28,"$500 - $1,000","The local is a brand new Irish pub in the heart of Osaka's entertainment district, offering a wide range of beverages and a relaxed friendly atmosphere",Brew Pub,Pub,Irish,Bar,,,,
Chicken Soba Zagin Niboshi,"3-9-6 Minamisemba, Chuo, Osaka 542-0081 Osaka Prefecture",159,3.349250078201294,$$ - $$$,36,,,Asian,,,,,,,
La Pizza Napoletana Regalo,"1-5-2 Fukushima Fukushima-Ku Horino Bldg. 1F, Osaka 553-0003 Osaka Prefecture",353,3.341341733932495,$$ - $$$,22,,,Italian,Pizza,,,,,,
Ultra-Milk,"6-9 Ikeda-cho, Kita-ku, Osaka-shi, Osaka Ultra-Milk, Osaka 530-0033 Osaka Prefecture",345,3.346961498260498,$,12,,大阪の天満に立地する〜哺乳瓶で飲むCoffee＆BAR〜,Brew Pub,Bar,Pub,Wine Bar,Street Food,,,
Rikyu Ekimarushe Osaka,"3-1-1 Umeda, Kita-ku, Osaka 530-0001 Osaka Prefecture",336,3.351028680801392,$$ - $$$,70,"$1,000 - $3,999",,Japanese,,,,,,,
Genrokuzushi Sennichimae,"2-11-4, Sennichimae, Chuo, Osaka Osaka Prefecture",11,3.362182855606079,$,87,,,Japanese,Seafood,Sushi,Asian,,,,
Aji No Gyutan Kisuke Umekita,"4-20 Ofukacho, Kita-Ku Grand Front Osaka South Wing , 7F, Osaka 530-0011 Osaka Prefecture",361,3.338259696960449,$$ - $$$,47,"$1,200 - $3,500",炭火焼き牛たんの老舗。 「仙台名物牛たん」を全国に広めた【味の牛たん喜助】です。 味の牛たん喜助は1975年創業、2025年に創業50周年を迎える牛たん料理専門店です。 仙台で誕生した「炭火焼牛たん」を仙台名物に育て上げ、今では日本全国で知られるようになるまで広げたのが喜助です。 喜助では、仕入れのプロが厳選した牛たんを、本社工場で全て加工しております。 工場では、まず、熟練した剥きのスタッフが1本ずつ丁寧に皮をとりのぞきながら異物がないかチェックをし、次に味付けのスタッフが スライスした牛たん一枚ずつに真心こめて手ぶりで味付けしております。 さらにうま味を引き出すため、数日間じっくりと熟成させます。 喜助では素材の良さを生かし、食べやすい厚さ手ぶりでの味付けにこだわり、 余計な加工は一切しておりません。 手間を惜しまずに、昔ながらの製法にこだわることで、牛たんそのもののうま味が存分に引き出され、 サクッとしてジューシーな味わいを堪能できるのが、喜助の牛たんの特徴です。 直近では海外から欧米、台湾、韓国、中国、東南アジアのお客様も数多く来店されており快適にお過ごし頂ける様おもてなしをしております。言語のできるスタッフも常駐しておりますので安心してお越しください。ぜひ本場の喜助の厚切り牛たんをお試しください。jr大阪駅 から徒歩で1分。座席数37席,Japanese,,,,,,,
Ketobashiya Champion Fukushima,"7-9-1 Fukushima, Fukushima-Ku 1F Fukushima Residence, Osaka 553-0003 Osaka Prefecture",365,3.3366196155548096,,41,,"There are few complete horse meat specialty stores in Kansai. You can also enjoy selected horse meat from Kumamoto direct delivery and enthusiastic parts unique to specialty stores. If you visit us, you should be able to feel that horse grilled meat is the best way to eat horse meat.",Barbecue,,,,,,,
Tsurutontan Hommachiro,"2-1-13 Kawaramachi, Chuo, Osaka 541-0048 Osaka Prefecture",152,3.3599984645843506,$$ - $$$,69,"$1,000 - $5,500",,Japanese,Asian,,,,,,
Budoutei,"1-1-3 Umeda, Kita-ku Osaka Ekimae No.3 Bldg.2F, Osaka 530-0001 Osaka Prefecture",367,3.3362843990325928,$$ - $$$,57,,,Steakhouse,,,,,,,
Gogoichi Hourai Hankyuu Umeda Station,"1-1-2 Shibata, Kita-ku, Osaka Osaka Prefecture",400,3.3199105262756348,,52,,,Chinese,,,,,,,
Ore no French Umeda,"1-7 Komatsubaracho, Kita-ku Mister Rin Bldg. 1F, Osaka 530-0018 Osaka Prefecture",399,3.320073366165161,,39,,,French,,,,,,,
Hiro Coffee Itami Inagawa,"5-15-1 Kitaitami, Itami 664-0831 Hyogo Prefecture",2,3.333571434020996,$,53,"$800 - $1,000",,Cafe,,,,,,,
Park Side Grille,"2-1-33 Sakurajima, Konohana-ku Universal Studios Japan, Osaka 554-0031 Osaka Prefecture",398,3.321388006210327,$$ - $$$,48,,,Steakhouse,,,,,,,
Indian Restaurant Gautama,"1-1-3 Umeda, Kita-ku Ekimae Dai San Building B1-40, Osaka 530-0001 Osaka Prefecture",374,3.3336970806121826,$$ - $$$,20,"$290 - $4,000","New Indian Restaurant in the heart of the city Osaka Umeda . We serve authentic Indian food . You can choose the spiceness so please dont worry about it. We serve --* HALAL food * Vegeterian * Non-veg *Vegan *Jain food etc. Close to - Hotel Hilton, Crown plaza, Ritz carlton etc . One minute walk from JR kitashinchi station , 3 minutes from - Nishi umeda station and 5 minutes walk from Jr umeda station , Hanshin Umeda station , Hankyu Umeda station. Restaurant is 40 seaters , Buffet on Demand(15 + people). Lunch Set - ¥750( Unlimited naan , choice of one curry , soup , salad and soft drink) Dinner set -¥1200 (Naan , curry , soup and Salad ) Ala-carte menu - from ¥290 Please feel free to contact us . Thank you Namaste !",Indian,Asian,Vegan Options,Vegetarian Friendly,Halal,,,
Aux Bacchanales Umeda,"4-20 Ofukacho, Kita-Ku 1F Grand Front Osaka South Wing, Osaka 530-0011 Osaka Prefecture",373,3.333958864212036,$$ - $$$,62,,,European,Central European,Cafe,,,,,
Moritaya Lucua 1100,"3-1-3 Umeda, Kita-Ku Lucua Dining 10F, Osaka 530-0001 Osaka Prefecture",397,3.321479082107544,$$ - $$$,42,,,Japanese,Asian,,,,,,
Whisky Dining WWW.W,"3-1 Ofukacho, Kita-ku Grand Front Osaka Knowledge Capital 2F, Osaka 530-0011 Osaka Prefecture",396,3.321840524673462,$$ - $$$,43,,,Bar,Pub,,,,,,
Haruju Dotonbori Honten Curry Shop,"1-9-17, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",35,3.324110507965088,$$ - $$$,58,"$800 - $1,500",,International,,,,,,,
Fishing Restaurant Zauo Namba Honten,"1-1-13 Sunroute Osaka Namba B1F, Nippombashi, Chuo, Osaka 542-0073 Osaka Prefecture",6,3.334521770477295,$$ - $$$,116,"$2,500 - $4,000","• Only a minute walk north from Kintetsu Nippombashi Station Exit 6. • Enjoy the fishing banquet course available for 4 or more people - only 3,500 JPY!",Seafood,Diner,Japanese,Sushi,,,,
